/* Unit: gC/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17,,,
SW Asia,2012,871.54,1109.84,512.76,1054.96,930.45,788.94,89.41,971.80,758.83,320.14,348.60,405.16,22.97,958.26,4.71,2.97,1.04,,,
Central Asia,2012,511.58,0.90,540.56,647.28,649.91,577.28,50.62,607.21,500.97,173.26,82.37,268.11,10.48,495.95,2.81,11.34,0.06,,,
Central America,2012,545.26,1608.52,0.00,1304.87,1701.75,748.36,423.50,1381.08,1027.55,1043.21,251.56,928.82,160.61,1052.68,0.00,95.48,0.08,,,
South America,2012,872.65,1372.09,513.41,761.10,818.86,596.82,228.11,995.21,815.72,625.55,132.46,732.37,15.99,906.77,2.54,34.49,1.40,,,
North America,2011,613.40,1390.21,586.29,858.77,757.51,547.27,216.24,572.19,400.39,192.50,89.78,524.50,59.56,750.31,1.45,13.90,9.54,,,
Europe,2011,700.61,1310.23,400.02,871.99,736.36,598.16,287.60,668.21,657.72,456.81,182.27,611.51,36.02,794.78,0.52,10.32,0.96,,,
Africa,2011,1216.05,1145.34,453.60,857.74,874.58,595.40,224.24,1073.71,801.31,400.79,99.53,426.98,102.69,639.27,23.36,0.73,0.23,,,
Australia,2011,1890.65,2045.86,2178.50,1416.35,1563.97,424.74,251.51,1202.69,946.23,601.07,270.61,705.80,93.27,1499.29,0.65,16.44,1.37,,,
E Asia,2011,927.16,1333.55,627.06,768.11,890.11,533.15,77.11,869.01,752.50,261.48,196.99,497.14,129.03,687.60,2.36,5.70,1.18,,,
N Asia,2011,594.15,0.00,484.88,633.37,628.57,301.39,228.58,481.51,352.23,201.66,59.64,451.33,27.61,552.09,2.06,13.87,24.31,,,
S Asia,2011,822.89,1400.64,0.00,741.98,776.58,429.85,47.23,990.24,649.21,252.84,68.70,385.58,35.06,673.04,3.27,10.61,1.77,,,
SE Asia,2011,899.64,1350.90,95.12,1116.85,1272.10,834.56,489.71,1031.34,874.06,747.05,198.64,644.75,108.25,832.31,64.27,75.98,1.98,,,
SW Asia,2011,964.68,1144.22,631.67,998.43,917.93,719.38,95.87,963.96,794.71,333.27,384.71,455.97,23.93,984.05,4.49,2.93,1.43,,,
Central Asia,2011,627.52,0.83,613.86,707.59,712.24,619.49,39.98,659.18,556.71,193.21,86.10,335.47,10.69,582.02,3.14,12.29,0.07,,,
Central America,2011,518.24,1544.96,0.00,1301.29,1548.81,715.78,577.15,1291.07,984.04,984.26,258.74,933.47,148.80,1033.71,0.00,97.36,0.06,,,
South America,2011,950.69,1360.36,579.82,885.93,874.41,899.47,225.12,1020.96,909.00,685.61,138.34,731.09,15.51,1016.98,3.96,33.61,1.49,,,
North America,2010,673.48,1428.90,599.74,901.98,798.92,559.89,229.93,605.96,429.03,219.71,89.78,593.95,62.97,809.43,1.27,14.38,9.54,,,
