Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
S Asia,2015,2.69286E+13,1.86626E+14,1058007921,5.27993E+13,7.87812E+13,82395884583,1.07519E+13,1.82304E+14,1.37789E+14,1.56579E+14,1.69413E+12,6.57888E+14,1.47896E+12,5.25499E+13,45456764766,9.39979E+12,44059002924
SE Asia,2015,6.66802E+12,3.08652E+15,5032510796,6.97082E+13,1.08046E+14,6.68914E+11,73686272636,9.37969E+14,3.2376E+14,1.6339E+14,1.84464E+13,3.05487E+14,4.40229E+12,1.2907E+14,1109338239,1.42068E+11,2.83696E+11
SW Asia,2015,1.90931E+13,5.15309E+11,773215220.7,4.32858E+13,1.56151E+13,1.62445E+11,3.27085E+13,5.90747E+13,5.71876E+13,3.10675E+14,1.91009E+12,1.94373E+14,9.7672E+11,6.14574E+12,3236426966,1.14915E+13,30892273178
Central Asia,2015,5.95604E+11,7672489.168,57491033019,7.67743E+11,5.67506E+12,2.53119E+11,7.95623E+12,5.66778E+12,5.55598E+12,5.4019E+14,6.46328E+11,7.29513E+13,2.50959E+11,2.57273E+11,76621006205,7.92477E+12,17405888386
Central America,2015,29916192222,2.40191E+14,84792561.01,5.2935E+12,2.24091E+12,1.39503E+11,1971384626,2.25128E+14,1.21684E+14,2.14214E+13,1.52177E+12,9.00658E+12,3.09408E+11,6.12064E+12,0,3940015088,997215258.8
South America,2015,3.82506E+13,8.59939E+15,3508244246,1.68539E+14,5.78608E+13,3.23895E+13,2.04298E+14,8.66873E+14,2.72104E+15,2.24724E+15,2.09076E+13,5.24365E+14,1.34909E+12,1.18739E+14,54125529859,2.38346E+13,2.76139E+11
North America,2018,8.0588E+14,3.16122E+14,3.80583E+12,8.63501E+14,7.03278E+14,1.16103E+13,5.08504E+14,1.9944E+15,1.12092E+15,1.15858E+15,4.17778E+13,1.12965E+15,1.01445E+13,1.23756E+14,3.39816E+11,9.47172E+12,6.37627E+12
Europe,2014,4.4823E+14,2.80141E+13,1.05621E+11,3.47299E+14,1.07861E+15,1.09858E+12,6.15472E+13,8.53279E+14,7.59169E+14,6.43996E+14,1.65263E+13,1.5383E+15,5.73644E+12,1.85343E+14,47473349663,8.6756E+11,1.65059E+11
Africa,2014,5.11033E+12,2.88657E+15,1069624982,3.19585E+14,2.62282E+14,8.21748E+13,3.75441E+14,1.29073E+15,3.49091E+15,2.91346E+15,8.92985E+12,5.0888E+14,5.77746E+12,1.73532E+14,229310957.1,7.02729E+12,74155316361
Australia,2014,7.03661E+13,4.20968E+14,1610587282,1.82594E+12,9.60026E+12,9.66274E+13,5.79542E+14,1.44379E+14,4.88976E+14,8.07764E+14,2.90701E+12,1.89631E+14,9.08598E+11,1.41645E+12,0,1.32299E+12,16655057522
