Continents/regions,year,mod_land1,mod_land2,mod_land3,mod_land4,mod_land5,mod_land6,mod_land7,mod_land8,mod_land9,mod_land10,mod_land12,mod_land14,
Africa,2012,4065725508,2.22E+12,2121854.858,3.62E+11,2.62E+11,1.56E+11,1.74E+12,1.16E+12,4.24E+12,7.83E+12,1.29E+12,2.71E+11,
Australia,2012,38035740387,2.10E+11,387256.5248,893575524,6027271020,3.21E+11,4.08E+12,1.34E+11,5.63E+11,1.90E+12,2.76E+11,930827546.9,
E Asia,2012,99825158319,2.29E+12,16714034306,5.93E+11,4.81E+11,5689329471,9279609681,1.81E+12,1.14E+12,3.05E+12,1.80E+12,3.77E+11,
N Asia,2012,3.89E+11,0,4.71E+11,3.14E+11,1.33E+12,38752973880,3.20E+12,2.24E+12,2.32E+12,2.74E+12,2.60E+11,30845141068,
S Asia,2012,32990812685,1.46E+11,882905.1719,87539507524,1.16E+11,173224440.6,2.84E+11,1.98E+11,2.20E+11,6.66E+11,2.23E+12,81867532129,
SE Asia,2012,8202165411,2.06E+12,6318140.906,69319002639,93726583557,654177343.6,122987802.1,8.31E+11,3.59E+11,1.96E+11,4.93E+11,1.46E+11,
SW Asia,2012,18915438449,470618886.5,1642003.446,45198480427,16612307335,431197966.9,3.45E+11,59257609134,73270935163,9.44E+11,4.11E+11,5426854677,
Central Asia,2012,991698203.9,7382500.936,105979231.1,1107922069,8092841459,476049735.7,1.24E+11,7981834680,10324790294,2.80E+12,2.05E+11,185223161.4,
Central America,2012,51649287.59,1.57E+11,213982.3282,5100208881,1266915754,97243293.41,492157.9688,1.70E+11,1.25E+11,21310708580,10298092372,6260671986,
South America,2012,40881237307,6.25E+12,5036077.255,2.90E+11,67856722607,52486823731,8.16E+11,9.42E+11,3.64E+12,3.68E+12,6.87E+11,1.19E+11,
North America,2011,1.23E+12,2.11E+11,6123434757,8.96E+11,9.08E+11,25845888741,2.28E+12,3.26E+12,2.61E+12,5.39E+12,1.97E+12,1.50E+11,
Europe,2011,6.44E+11,20258649010,255553162.5,3.56E+11,1.41E+12,2462702517,2.40E+11,1.29E+12,1.19E+12,1.41E+12,2.46E+12,2.19E+11,
Africa,2011,4101847098,2.22E+12,2121854.858,3.79E+11,2.59E+11,1.59E+11,1.75E+12,1.16E+12,4.24E+12,7.80E+12,1.29E+12,2.70E+11,
Australia,2011,37738021347,2.10E+11,387256.5248,801675827.2,5567406090,3.08E+11,4.05E+12,1.32E+11,5.47E+11,1.96E+12,2.70E+11,908350792.8,
E Asia,2011,99136623909,2.31E+12,17005704926,5.93E+11,4.79E+11,6051807574,8840207675,1.80E+12,1.14E+12,3.05E+12,1.80E+12,3.73E+11,
N Asia,2011,3.92E+11,0,4.91E+11,3.13E+11,1.33E+12,39546907292,3.21E+12,2.18E+12,2.32E+12,2.74E+12,2.63E+11,34217202768,
S Asia,2011,32973327067,1.47E+11,658309.9375,88390080129,1.15E+11,172777542.9,2.77E+11,1.98E+11,2.17E+11,6.73E+11,2.23E+12,80582066937,
SE Asia,2011,8201694004,2.08E+12,5109729.874,69637976198,92659936575,678704185.4,119669079.9,8.16E+11,3.57E+11,1.95E+11,4.91E+11,1.47E+11,
SW Asia,2011,18672523357,497003155.6,2005549.196,45118066022,16576989649,488339387.1,3.43E+11,58752037732,73790010801,9.42E+11,4.09E+11,5354182517,
Central Asia,2011,993316625,7575570.561,112830679,1200321749,8157392491,447607826.3,1.21E+11,7688317897,10785436161,2.80E+12,2.08E+11,171645270.3,
Central America,2011,51720510.94,1.58E+11,213982.3282,5220198521,1264343647,100076247.8,492157.9688,1.68E+11,1.25E+11,21487670638,10152300608,6304984331,
South America,2011,40527999734,6.25E+12,6170065.099,3.13E+11,69839608168,51708393931,8.26E+11,9.47E+11,3.62E+12,3.66E+12,6.83E+11,1.18E+11,
North America,2010,1.22E+12,2.13E+11,5467381938,9.03E+11,9.01E+11,27143785746,2.26E+12,3.27E+12,2.60E+12,5.40E+12,1.98E+12,1.50E+11,
Europe,2010,6.39E+11,19913548019,236739452.1,3.55E+11,1.40E+12,2614901823,2.38E+11,1.29E+12,1.20E+12,1.41E+12,2.47E+12,2.19E+11,
Africa,2010,4022209489,2.22E+12,2118141.655,3.88E+11,2.55E+11,1.62E+11,1.77E+12,1.16E+12,4.24E+12,7.76E+12,1.30E+12,2.71E+11,
Australia,2010,36914646241,2.08E+11,387256.5248,782188124.6,5689485317,2.87E+11,4.08E+12,1.33E+11,5.37E+11,1.95E+12,2.80E+11,872601377.3,
